lesion_name,dataset_id,dataset_name,p,r,tp,fp,fn,volume,pred_volume
ULSDL3D_000491_02_01_054_lesion_01.nii.gz,7,ct+seg+2mask,0.96,0.919,192,8,17,209.0,200
ULSDL3D_000492_01_01_082_lesion_01.nii.gz,1,ct,0.438,0.87,114,146,17,131.0,260
ULSDL3D_000492_01_01_082_lesion_01.nii.gz,2,ct+seg,0.772,0.878,115,34,16,131.0,149
ULSDL3D_000492_01_01_082_lesion_01.nii.gz,3,ct+seg+box,0.731,0.931,122,45,9,131.0,167
ULSDL3D_000492_01_01_082_lesion_01.nii.gz,5,ct+seg+2box,0.85,0.954,125,22,6,131.0,147
ULSDL3D_000492_01_01_082_lesion_01.nii.gz,6,ct+seg+mask,0.839,0.916,120,23,11,131.0,143
ULSDL3D_000492_01_01_082_lesion_01.nii.gz,7,ct+seg+2mask,0.991,0.878,115,1,16,131.0,116
ULSDL3D_000502_02_01_054_lesion_01.nii.gz,1,ct,0.13,0.944,167,1120,10,177.0,1287
ULSDL3D_000502_02_01_054_lesion_01.nii.gz,2,ct+seg,0.0,0.0,0,295,177,177.0,295
ULSDL3D_000502_02_01_054_lesion_01.nii.gz,3,ct+seg+box,0.791,0.729,129,34,48,177.0,163
ULSDL3D_000502_02_01_054_lesion_01.nii.gz,5,ct+seg+2box,0.913,0.831,147,14,30,177.0,161
ULSDL3D_000502_02_01_054_lesion_01.nii.gz,6,ct+seg+mask,0.667,0.836,148,74,29,177.0,222
ULSDL3D_000502_02_01_054_lesion_01.nii.gz,7,ct+seg+2mask,0.946,0.893,158,9,19,177.0,167
ULSDL3D_000526_03_01_053_lesion_01.nii.gz,1,ct,0.172,0.594,296,1429,202,498.0,1725
ULSDL3D_000526_03_01_053_lesion_01.nii.gz,2,ct+seg,0.176,0.803,400,1872,98,498.0,2272
ULSDL3D_000526_03_01_053_lesion_01.nii.gz,3,ct+seg+box,0.932,0.739,368,27,130,498.0,395
